"gmd_identifier","gmd_name","Land","kanton","agglo_identifier","population_2012"
"230","Winterthur","CH","ZH","230",104468
"219","Elsau","CH","ZH","230",3355
"223","Neftenbach","CH","ZH","230",5425
"217","Elgg","CH","ZH","230",4034
"225","Rickenbach (ZH)","CH","ZH","230",2551
"226","Schlatt (ZH)","CH","ZH","230",738
"227","Seuzach","CH","ZH","230",7136
"298","Wiesendangen","CH","ZH","230",5984
"261","Zürich","CH","ZH","261",380777
"52","Bassersdorf","CH","ZH","261",11243
"54","Dietlikon","CH","ZH","261",7170
"62","Kloten","CH","ZH","261",18402
"66","Opfikon","CH","ZH","261",16116
"69","Wallisellen","CH","ZH","261",14188
"131","Adliswil","CH","ZH","261",18037
"133","Horgen","CH","ZH","261",19282
"135","Kilchberg (ZH)","CH","ZH","261",7675
"136","Langnau am Albis","CH","ZH","261",7254
"137","Oberrieden","CH","ZH","261",4979
"139","Rüschlikon","CH","ZH","261",5425
"141","Thalwil","CH","ZH","261",17340
"151","Erlenbach (ZH)","CH","ZH","261",5325
"152","Herrliberg","CH","ZH","261",6148
"154","Küsnacht (ZH)","CH","ZH","261",13518
"160","Zumikon","CH","ZH","261",5167
"161","Zollikon","CH","ZH","261",12163
"191","Dübendorf","CH","ZH","261",25341
"194","Greifensee","CH","ZH","261",5226
"197","Schwerzenbach","CH","ZH","261",4743
"199","Volketswil","CH","ZH","261",17768
"200","Wangen-Brüttisellen","CH","ZH","261",7578
"243","Dietikon","CH","ZH","261",24843
"244","Geroldswil","CH","ZH","261",4755
"245","Oberengstringen","CH","ZH","261",6416
"246","Oetwil an der Limmat","CH","ZH","261",2332
"247","Schlieren","CH","ZH","261",17199
"249","Unterengstringen","CH","ZH","261",3398
"250","Urdorf","CH","ZH","261",9471
"251","Weiningen (ZH)","CH","ZH","261",4287
"4023","Bergdietikon","CH","AG","261",2404
"2","Affoltern am Albis","CH","ZH","261",11276
"5","Hedingen","CH","ZH","261",3511
"51","Bachenbülach","CH","ZH","261",4019
"53","Bülach","CH","ZH","261",17975
"56","Embrach","CH","ZH","261",8986
"57","Freienstein-Teufen","CH","ZH","261",2317
"60","Höri","CH","ZH","261",2619
"68","Rorbas","CH","ZH","261",2501
"72","Winkel","CH","ZH","261",4088
"89","Niederglatt","CH","ZH","261",4580
"90","Niederhasli","CH","ZH","261",8723
"92","Oberglatt","CH","ZH","261",6063
"96","Regensdorf","CH","ZH","261",16975
"121","Wetzikon (ZH)","CH","ZH","261",23274
"138","Richterswil","CH","ZH","261",12832
"142","Wädenswil","CH","ZH","261",20967
"155","Männedorf","CH","ZH","261",10470
"156","Meilen","CH","ZH","261",12816
"158","Stäfa","CH","ZH","261",13876
"159","Uetikon am See","CH","ZH","261",5931
"174","Illnau-Effretikon","CH","ZH","261",16117
"198","Uster","CH","ZH","261",32748
"1322","Freienbach","CH","SZ","261",15758
"1323","Wollerau","CH","SZ","261",7051
"4030","Killwangen","CH","AG","261",1825
"4040","Spreitenbach","CH","AG","261",10930
"4048","Würenlos","CH","AG","261",5850
"4062","Berikon","CH","AG","261",4519
"4063","Bremgarten (AG)","CH","AG","261",7580
"4075","Rudolfstetten-Friedlisberg","CH","AG","261",4319
"4081","Widen","CH","AG","261",3581
"4083","Zufikon","CH","AG","261",4250
"1","Aeugst am Albis","CH","ZH","261",1955
"3","Bonstetten","CH","ZH","261",5205
"4","Hausen am Albis","CH","ZH","261",3376
"8","Maschwanden","CH","ZH","261",641
"9","Mettmenstetten","CH","ZH","261",4420
"10","Obfelden","CH","ZH","261",4833
"11","Ottenbach","CH","ZH","261",2480
"12","Rifferswil","CH","ZH","261",957
"13","Stallikon","CH","ZH","261",3309
"14","Wettswil am Albis","CH","ZH","261",4579
"23","Berg am Irchel","CH","ZH","261",587
"55","Eglisau","CH","ZH","261",4709
"58","Glattfelden","CH","ZH","261",4550
"59","Hochfelden","CH","ZH","261",2022
"61","Hüntwangen","CH","ZH","261",1000
"63","Lufingen","CH","ZH","261",1833
"64","Nürensdorf","CH","ZH","261",5274
"65","Oberembrach","CH","ZH","261",1030
"67","Rafz","CH","ZH","261",4098
"70","Wasterkingen","CH","ZH","261",547
"71","Wil (ZH)","CH","ZH","261",1298
"81","Bachs","CH","ZH","261",574
"82","Boppelsen","CH","ZH","261",1276
"83","Buchs (ZH)","CH","ZH","261",6068
"84","Dällikon","CH","ZH","261",3733
"85","Dänikon","CH","ZH","261",1928
"86","Dielsdorf","CH","ZH","261",5790
"87","Hüttikon","CH","ZH","261",669
"88","Neerach","CH","ZH","261",3029
"91","Niederweningen","CH","ZH","261",2760
"93","Oberweningen","CH","ZH","261",1754
"94","Otelfingen","CH","ZH","261",2755
"95","Regensberg","CH","ZH","261",491
"97","Rümlang","CH","ZH","261",7019
"98","Schleinikon","CH","ZH","261",718
"99","Schöfflisdorf","CH","ZH","261",1375
"100","Stadel","CH","ZH","261",2015
"101","Steinmaur","CH","ZH","261",3279
"102","Weiach","CH","ZH","261",1083
"111","Bäretswil","CH","ZH","261",4934
"112","Bubikon","CH","ZH","261",6854
"115","Gossau (ZH)","CH","ZH","261",9725
"116","Grüningen","CH","ZH","261",3229
"117","Hinwil","CH","ZH","261",10615
"119","Seegräben","CH","ZH","261",1305
"132","Hirzel","CH","ZH","261",2134
"134","Hütten","CH","ZH","261",897
"140","Schönenberg (ZH)","CH","ZH","261",1896
"153","Hombrechtikon","CH","ZH","261",8119
"157","Oetwil am See","CH","ZH","261",4557
"172","Fehraltorf","CH","ZH","261",6234
"173","Hittnau","CH","ZH","261",3508
"175","Kyburg","CH","ZH","261",405
"176","Lindau","CH","ZH","261",5212
"177","Pfäffikon","CH","ZH","261",11027
"178","Russikon","CH","ZH","261",4132
"180","Weisslingen","CH","ZH","261",3176
"182","Wildberg","CH","ZH","261",1005
"192","Egg","CH","ZH","261",8305
"193","Fällanden","CH","ZH","261",8072
"195","Maur","CH","ZH","261",9634
"196","Mönchaltorf","CH","ZH","261",3447
"213","Brütten","CH","ZH","261",1989
"215","Dättlikon","CH","ZH","261",748
"224","Pfungen","CH","ZH","261",3386
"241","Aesch (ZH)","CH","ZH","261",1157
"242","Birmensdorf (ZH)","CH","ZH","261",5965
"248","Uitikon","CH","ZH","261",3947
"1321","Feusisberg","CH","SZ","261",4945
"2933","Buchberg","CH","SH","261",837
"2938","Rüdlingen","CH","SH","261",755
"4022","Bellikon","CH","AG","261",1588
"4031","Künten","CH","AG","261",1622
"4061","Arni (AG)","CH","AG","261",1830
"4066","Eggenwil","CH","AG","261",904
"4067","Fischbach-Göslikon","CH","AG","261",1473
"4071","Jonen","CH","AG","261",1966
"4073","Oberlunkhofen","CH","AG","261",1956
"4074","Oberwil-Lieli","CH","AG","261",2155
"4079","Unterlunkhofen","CH","AG","261",1277
"4084","Islisberg","CH","AG","261",607
"4226","Besenbüren","CH","AG","261",563
"4238","Rottenschwil","CH","AG","261",783
"4306","Fisibach","CH","AG","261",408
"4308","Kaiserstuhl","CH","AG","261",403
"4318","Schneisingen","CH","AG","261",1329
"4319","Siglistorf","CH","AG","261",613
"351","Bern","CH","BE","351",127515
"352","Bolligen","CH","BE","351",6021
"353","Bremgarten bei Bern","CH","BE","351",4318
"355","Köniz","CH","BE","351",39375
"356","Muri bei Bern","CH","BE","351",12675
"358","Stettlen","CH","BE","351",2883
"359","Vechigen","CH","BE","351",4809
