"index","name_occup_de","class_1","class_2","class_3","class_4"
"0","Angehörige der regulären Streitkräfte","0",NA,NA,NA
"01","Offiziere in regulären Streitkräften","0","01",NA,NA
"011","Offiziere in regulären Streitkräften","0","01","011",NA
"0110","Offiziere in regulären Streitkräften","0","01","011","0110"
"02","Unteroffiziere in regulären Streitkräften","0","02",NA,NA
"021","Unteroffiziere in regulären Streitkräften","0","02","021",NA
"0210","Unteroffiziere in regulären Streitkräften","0","02","021","0210"
"03","Angehörige der regulären Streitkräfte in sonstigen Rängen","0","03",NA,NA
"031","Angehörige der regulären Streitkräfte in sonstigen Rängen","0","03","031",NA
"0310","Angehörige der regulären Streitkräfte in sonstigen Rängen","0","03","031","0310"
"1","Führungskräfte","1",NA,NA,NA
"10","Führungskräfte, onA","1","10",NA,NA
"100","Führungskräfte, onA","1","10","100",NA
"1000","Führungskräfte, onA","1","10","100","1000"
"11","Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften","1","11",NA,NA
"110","Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften, onA","1","11","110",NA
"1100","Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften, onA","1","11","110","1100"
"111","Angehörige gesetzgebender Körperschaften und leitende Verwaltungsbedienstete","1","11","111",NA
"1110","Angehörige gesetzgebender Körperschaften und leitende Verwaltungsbedienstete, onA","1","11","111","1110"
"1111","Angehörige gesetzgebender Körperschaften","1","11","111","1111"
"1112","Leitende Verwaltungsbedienstete","1","11","111","1112"
"1113","Traditionelle Dorf- und Stammeshäuptlinge","1","11","111","1113"
"1114","Leitende Bedienstete von Interessenorganisationen","1","11","111","1114"
"112","Geschäftsführer und Vorstände","1","11","112",NA
"1120","Geschäftsführer und Vorstände","1","11","112","1120"
"12","Führungskräfte im kaufmännischen Bereich","1","12",NA,NA
"120","Führungskräfte im kaufmännischen Bereich, onA","1","12","120",NA
"1200","Führungskräfte im kaufmännischen Bereich, onA","1","12","120","1200"
"121","Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen","1","12","121",NA
"1210","Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, onA","1","12","121","1210"
"1211","Führungskräfte im Bereich Finanzen","1","12","121","1211"
"1212","Führungskräfte im Personalwesen","1","12","121","1212"
"1213","Führungskräfte in Unternehmenspolitik und -planung","1","12","121","1213"
"1219","Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt","1","12","121","1219"
"122","Führungskräfte in Vertrieb, Marketing und Entwicklung","1","12","122",NA
"1220","Führungskräfte in Vertrieb, Marketing und Entwicklung, onA","1","12","122","1220"
"1221","Führungskräfte in Vertrieb und Marketing","1","12","122","1221"
"1222","Führungskräfte in Werbung und Öffentlichkeitsarbeit","1","12","122","1222"
"1223","Führungskräfte in Forschung und Entwicklung","1","12","122","1223"
"13","Führungskräfte in der Produktion und bei speziellen Dienstleistungen","1","13",NA,NA
"130","Führungskräfte in der Produktion und bei speziellen Dienstleistungen, onA","1","13","130",NA
"1300","Führungskräfte in der Produktion und bei speziellen Dienstleistungen, onA","1","13","130","1300"
"131","Führungskräfte in der Produktion in Land- und Forstwirtschaft und Fischerei","1","13","131",NA
"1310","Führungskräfte in der Produktion in Land- und Forstwirtschaft und Fischerei, onA","1","13","131","1310"
"1311","Führungskräfte in der Produktion in Land- und Forstwirtschaft","1","13","131","1311"
"1312","Führungskräfte in der Produktion in Aquakultur und Fischerei","1","13","131","1312"
"132","Führungskräfte in der Produktion bei der Herstellung von Waren, im Bergbau und im Bau sowie in der Logistik","1","13","132",NA
"1320","Führungskräfte in der Produktion bei der Herstellung von Waren, im Bergbau und im Bau sowie in der Logistik, onA","1","13","132","1320"
"1321","Führungskräfte in der Produktion bei der Herstellung von Waren","1","13","132","1321"
"1322","Führungskräfte in der Produktion im Bergbau","1","13","132","1322"
"1323","Führungskräfte in der Produktion im Bau","1","13","132","1323"
"1324","Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen","1","13","132","1324"
"133","Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie","1","13","133",NA
"1330","Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie","1","13","133","1330"
"134","Führungskräfte in der Erbringung von speziellen Dienstleistungen","1","13","134",NA
"1340","Führungskräfte in der Erbringung von speziellen Dienstleistungen, onA","1","13","134","1340"
"1341","Führungskräfte in der Erbringung von Dienstleistungen der Kinderbetreuung","1","13","134","1341"
"1342","Führungskräfte in der Erbringung von Dienstleistungen im Gesundheitswesen","1","13","134","1342"
"1343","Führungskräfte in der Erbringung von Dienstleistungen der Altenbetreuung","1","13","134","1343"
"1344","Führungskräfte in der Erbringung von Dienstleistungen der Sozialfürsorge","1","13","134","1344"
"1345","Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens","1","13","134","1345"
