"index","name_occup_de","Berufsabteilungen","Berufsklassen","Berufsgruppen","Berufsarten","name_occup_fr","name_occup_it","name_occup_en"
"0","Angehörige der regulären Streitkräfte","0",NA,NA,NA,"Professions militaires","Forze armate","Armed forces occupations"
"01","Offiziere in regulären Streitkräften",NA,"01",NA,NA,"Officiers des forces armées","Ufficiali delle forze armate","Commissioned armed forces officers"
"011","Offiziere in regulären Streitkräften",NA,NA,"011",NA,"Officiers des forces armées","Ufficiali delle forze armate","Commissioned armed forces officers"
"0110","Offiziere in regulären Streitkräften",NA,NA,NA,"0110","Officiers des forces armées","Ufficiali delle forze armate","Commissioned armed forces officers"
"02","Unteroffiziere in regulären Streitkräften",NA,"02",NA,NA,"Sous-officiers des forces armées","Sottufficiali delle forze armate","Non-commissioned armed forces officers"
"021","Unteroffiziere in regulären Streitkräften",NA,NA,"021",NA,"Sous-officiers des forces armées","Sottufficiali delle forze armate","Non-commissioned armed forces officers"
"0210","Unteroffiziere in regulären Streitkräften",NA,NA,NA,"0210","Sous-officiers des forces armées","Sottufficiali delle forze armate","Non-commissioned armed forces officers"
"03","Angehörige der regulären Streitkräfte in sonstigen Rängen",NA,"03",NA,NA,"Autres membres des forces armées","Professioni relative alle forze armate, altri gradi","Armed forces occupations, other ranks"
"031","Angehörige der regulären Streitkräfte in sonstigen Rängen",NA,NA,"031",NA,"Autres membres des forces armées","Professioni relative alle forze armate, altri gradi","Armed forces occupations, other ranks"
"0310","Angehörige der regulären Streitkräfte in sonstigen Rängen",NA,NA,NA,"0310","Autres membres des forces armées","Professioni relative alle forze armate, altri gradi","Armed forces occupations, other ranks"
"1","Führungskräfte","1",NA,NA,NA,"Directeurs, cadres de direction et gérants","Dirigenti","Managers"
"10","Führungskräfte, onA",NA,"10",NA,NA,"Directeurs, cadres de direction et gérants, sip","Dirigenti, s.a.i.","Managers, nos"
"100","Führungskräfte, onA",NA,NA,"100",NA,"Directeurs, cadres de direction et gérants, sip","Dirigenti, s.a.i.","Managers, nos"
"1000","Führungskräfte, onA",NA,NA,NA,"1000","Directeurs, cadres de direction et gérants, sip","Dirigenti, s.a.i.","Managers, nos"
"11","Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften",NA,"11",NA,NA,"Directeurs généraux, cadres supérieurs et membres de l’Exécutif et des corps législatifs","Direttori, dirigenti superiori della pubblica amministrazione, membri dell'esecutivo e dei corpi legislativi","Chief executives, senior officials and legislators"
"110","Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften, onA",NA,NA,"110",NA,"Directeurs généraux, cadres supérieurs et membres de l’Exécutif et des corps législatifs, sip","Direttori, dirigenti superiori della pubblica amministrazione, membri dell'esecutivo e dei corpi legislativi, s.a.i.","Chief executives, senior officials and legislators, nos"
"1100","Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften, onA",NA,NA,NA,"1100","Directeurs généraux, cadres supérieurs et membres de l’Exécutif et des corps législatifs, sip","Direttori, dirigenti superiori della pubblica amministrazione, membri dell'esecutivo e dei corpi legislativi, s.a.i.","Chief executives, senior officials and legislators, nos"
"111","Angehörige gesetzgebender Körperschaften und leitende Verwaltungsbedienstete",NA,NA,"111",NA,"Membres des corps législatifs et cadres supérieurs de l’administration publique","Membri dell'esecutivo e dei corpi legislativi, dirigenti superiori della pubblica amministrazione","Legislators and senior officials"
"1110","Angehörige gesetzgebender Körperschaften und leitende Verwaltungsbedienstete, onA",NA,NA,NA,"1110","Membres des corps législatifs et cadres supérieurs de l’administration publique, sip","Membri dell'esecutivo e dei corpi legislativi, dirigenti superiori della pubblica amministrazione, s.a.i.","Legislators and senior officials, nos"
"1111","Angehörige gesetzgebender Körperschaften",NA,NA,NA,"1111","Membres des corps législatifs","Membri dell'esecutivo e dei corpi legislativi","Legislators"
"1112","Leitende Verwaltungsbedienstete",NA,NA,NA,"1112","Cadres supérieurs de l’administration publique","Dirigenti superiori della pubblica amministrazione","Senior government officials"
"1113","Traditionelle Dorf- und Stammeshäuptlinge",NA,NA,NA,"1113","Chefs traditionnels et chefs de village","Capi tradizionali e capi villaggio","Traditional chiefs and heads of village"
"1114","Leitende Bedienstete von Interessenorganisationen",NA,NA,NA,"1114","Dirigeants et cadres supérieurs d’organisations spécialisées","Dirigenti superiori di organizzazioni specializzate","Senior officials of special-interest organisations"
"112","Geschäftsführer und Vorstände",NA,NA,"112",NA,"Directeurs généraux d’entreprise","Direttori","Managing directors and chief executives"
"1120","Geschäftsführer und Vorstände",NA,NA,NA,"1120","Directeurs généraux d’entreprise","Direttori","Managing directors and chief executives"
"12","Führungskräfte im kaufmännischen Bereich",NA,"12",NA,NA,"Directeurs de services administratifs et commerciaux","Dirigenti amministrativi e commerciali","Administrative and commercial managers"
"120","Führungskräfte im kaufmännischen Bereich, onA",NA,NA,"120",NA,"Directeurs de services administratifs et commerciaux, sip","Dirigenti amministrativi e commerciali, s.a.i.","Administrative and commercial managers, nos"
"1200","Führungskräfte im kaufmännischen Bereich, onA",NA,NA,NA,"1200","Directeurs de services administratifs et commerciaux, sip","Dirigenti amministrativi e commerciali, s.a.i.","Administrative and commercial managers, nos"
"121","Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen",NA,NA,"121",NA,"Directeurs de services administratifs","Dirigenti nei servizi alle imprese e dell'amministrazione","Business services and administration managers"
"1210","Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, onA",NA,NA,NA,"1210","Directeurs de services administratifs, sip","Dirigenti nei servizi alle imprese e dell'amministrazione, s.a.i.","Business services and administration managers, nos"
"1211","Führungskräfte im Bereich Finanzen",NA,NA,NA,"1211","Directeurs et cadres de direction, services financiers","Dirigenti nei servizi finanziari","Finance managers"
"1212","Führungskräfte im Personalwesen",NA,NA,NA,"1212","Directeurs et cadres de direction, ressources humaines","Dirigenti delle risorse umane","Human resource managers"
"1213","Führungskräfte in Unternehmenspolitik und -planung",NA,NA,NA,"1213","Directeurs et cadres de direction, stratégie et planifications","Dirigenti strategie e pianificazione","Policy and planning managers"
"1219","Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt",NA,NA,NA,"1219","Directeurs des services administratifs non classés ailleurs","Dirigenti nei servizi alle imprese e dell'amministrazione non classificati altrove","Business services and administration managers not elsewhere classified"
"122","Führungskräfte in Vertrieb, Marketing und Entwicklung",NA,NA,"122",NA,"Directeurs et cadres de direction, ventes, commercialisation et développement","Dirigenti nei servizi di vendita, commercializzazione e sviluppo","Sales, marketing and development managers"
